"STUDENT_ID","CLASS","TERM","STATUS","TYPE","PAID_DATE","MONTH","COMMENTS","BOOK","ACTIVITY","TERM_FEES","ADMISSION","TRANSPORT","DAYCARE","ART","DANCE","SNACKS","LUNCH","BF","ADHOC","OTHERS","TOTAL","ID","UNIFORM","SENTMAIL"
4,"DayCare","",1,"CASH","","AUG"," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,0
2,"UKG","2",1,"NETBANKING","22/05/14","","Net Banking rs 15,000/ dated 22/05/14 transaction SBIN214142062998 ",1000,3000,11000,0,0,0,0,0,0,0,0,0,0,15000,8,,0
2,"UKG","2",1,"NETBANKING","09/09/14","","net Banking: SBIN414252392665 Mail Sent total fees including Portfolio and DC SEP-14 is Rs.17,200/-",0,2000,11000,0,0,0,0,0,0,0,0,0,0,13000,9,0,0
4,"DayCare","",1,"","",""," Full PAID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,0
4,"DayCare","",1,"","","JUN","FULL PAID",0,0,0,0,0,2500,0,0,250,0,0,0,0,2750,14,,0
17,"DayCare","",1,"","04/08/14","","",0,0,0,0,0,3900,0,700,250,0,0,0,0,4850,15,,0
20,"DayCare","",1,"CHEQUE","17/07/14","AUG","Cheque Paid 000009 dated 17/07/2014. Pending Rs.600",0,0,0,0,0,1200,0,0,250,0,0,0,0,1450,16,,0
19,"DayCare","",1,"CHEQUE","17/0714","AUG"," Cheque Paid 000009 dated 17/07/2014. Pending Rs.600",0,0,0,0,0,2400,0,0,250,0,0,0,0,2650,17,,0
9,"DayCare","",1,"","04/08/14","AUG","  ",0,0,0,0,0,5400,0,0,0,0,0,0,0,5400,18,,0
10,"DayCare","",1,"","04/08/14","AUG","",0,0,0,0,0,1200,0,700,250,0,0,0,0,2150,19,,0
13,"DayCare","",1,"NETBANKING","06/08/14","AUG","  AD-HOC TUTION Fees.",0,0,0,0,400,1200,700,0,250,0,0,1250,0,3800,20,,0
8,"DayCare","",1,"NETBANKING","06/08/14","AUG","Day Care Considered till 4PM. Excess paid Rs.300 deducting",0,0,0,0,0,2100,0,700,0,0,0,-300,0,2500,21,,0
15,"DayCare","",1,"NETBANKING","07/08/14","AUG"," ",0,0,0,0,600,2400,0,700,0,0,0,0,0,3700,22,,0
16,"DayCare","",1,"CHEQUE","20/08/14","AUG","Cheque- 464861 dated 04/08/14",0,0,0,0,0,3900,0,700,250,0,0,0,0,4850,23,0,0
18,"DayCare","",1,"","03/08/14","AUG","  ",0,0,0,0,400,2100,0,0,250,0,0,0,0,2750,24,,0
21,"DayCare","",1,"","04/08/14","AUG","  ",0,0,0,0,0,2700,0,0,0,0,0,0,0,2700,25,,0
22,"DayCare","",1,"CASH","11/08/14","AUG","  ",0,0,0,0,0,2100,0,0,0,0,0,0,0,2100,26,,0
